Date,CPO_Exp_Prices_USD_Tonne,MatureAreaHabyMonthly,FFBProductionYield,CPOProduction_tons,CrudePalmOilExportCPO,ProcessedpalmoilPPO,PamlKernelCake,CPOExp_Vol_prop,CPOExp_Mal_Ind,Oil_Exp_OlepChem_oth,Precipitation,Rm_to_USD,Closing_Stock_CPO,MYR to INR
01-01-2018,703,5189344,7680229.12,1586653,283186,1189480,217817,9,201547,413527,305,0.25,1572721,16.29
02-01-2018,709,5194688.569,6337520.054,1342805,418711,824909,217874,10,261784,370275,205,0.26,1560111,16.65
03-01-2018,706,5200038.642,7176053.326,1574079,543029,1023154,132448,12,394947,449945,167,0.26,1361350,16.85
04-01-2018,701,5205394.226,7079336.147,1558769,437567,1092838,178733,10,295886,402441,225,0.26,1203087,16.95
05-01-2018,687,5210755.325,6878197.029,1525490,107000,1184627,214149,16,75269,421090,171,0.25,1188377,16.94
06-01-2018,657,5216121.946,6102862.677,1332704,140749,988769,201625,12,159724,394151,225,0.25,1232383,16.95
07-01-2018,616,5221494.094,6683512.44,1503220,134067,1062605,150521,15,131914,493837,135,0.25,1241715,16.84
08-01-2018,615,5226871.774,7265351.766,1620605,123902,975994,213898,12,139053,453465,186,0.24,1278487,17.28
09-01-2018,605,5232254.994,8476253.09,1853602,368304,1251178,171234,13,228091,404676,275,0.24,1416395,17.52
10-01-2018,590,5237643.757,8903994.387,1964954,230485,1348009,225901,16,99335,495485,278,0.24,1613976,17.67
11-01-2018,539,5243038.071,8546152.055,1845222,279901,1095784,166217,12,242279,436236,356,0.24,1790316,16.64
12-01-2018,535,5248437.94,8449985.083,1808038,327621,1055686,201727,15,284178,439524,228,0.24,1940680,16.83
01-01-2019,585,5235000,7457489.244,1737461,384990,1295781,226222,17,318342,638632,169,0.24,1875604,17.32
02-01-2019,603,5236118.518,6564281.84,1544518,258430,1066682,193798,13,448996,611002,65,0.25,1928576,17.42
03-01-2019,573,5237237.275,6994763.698,1672058,342942,1277746,269793,14,341540,776033,184,0.25,1691445,16.95
04-01-2019,588,5238356.271,7051544.218,1649368,298584,1355895,155494,13,524127,562965,149,0.24,1595569,16.85
05-01-2019,563,5239475.506,6923744.284,1671467,301619,1412992,238770,12,528599,766917,184,0.24,1465338,16.6
06-01-2019,552,5240594.98,6613603.255,1510957,336446,1059443,229156,16,423621,667275,172,0.24,1345892,16.68
07-01-2019,544,5241714.694,7022380.92,1740759,306501,1179671,218501,14,461887,769553,165,0.24,1338324,16.69
08-01-2019,586,5242834.646,7821167.711,1821548,326348,1409297,144090,13,550452,701344,150,0.24,1290578,16.99
09-01-2019,580,5243954.838,8223295.568,1842433,316922,1093023,168789,15,465578,661289,178,0.24,1353343,16.87
10-01-2019,591,5265465.35,8319435.252,1795841,344686,1297152,221283,16,219956,551519,214,0.24,1323696,16.99
11-01-2019,683,5267360.691,7163610.539,1538054,336341,1065121,221772,18,142696,439361,258,0.24,1154222,17.18
12-01-2019,770,5269256.714,6428493.191,1333904,274106,1122051,205071,15,138647,495441,144,0.24,1019545,17.44
01-01-2020,810,5271153.42,5640134,1165860,179371,1044449,183119,15,166920,467131,184,0.25,844930,17.47
02-01-2020,729,5270448.176,7062873,1118552.142,113753.4209,913202,183119,9,199289,435857,194,0.24,851427,17.22
03-01-2020,635,5265465.35,6377242,1339247.947,134326.8202,1019158.093,245785.9983,7,164527,496670,204,0.24,829524,17.46
04-01-2020,609,5270095.589,7483536,1652771,195423,1061014,247510,10,193851,368664,351,0.23,1045633,17.47
05-01-2020,574,5269743.026,7641127.388,1651328,161033,1207586,191019,8,154961,397270,264.1908708,0.230551,991740,17.39
06-01-2020,652,5269390.486,8747188.207,1885742,426811,1292940,317534,,246045,450319,188.4,0.23422,1650380,17.63
